,mode,seed,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
seed,basket,1.0,-0.012575983802711207,-0.19231766720433652,0.29401774771831307,0.12950583072585267,0.12263890938779211,-0.7625542178116058,-0.26654296760861007,,0.03030303196486476,,
role_pnl,basket,-0.012575983802711207,1.0,0.010421624122612428,0.01658989959898827,0.027825286577413816,0.010849404145578752,0.012075557138286015,-0.0261080834662882,,-0.004574898620245013,,
wallet_sum_pnl,basket,-0.19231766720433652,0.010421624122612428,1.0,-0.14161702051891623,0.2984451102907864,-0.0072658060264345035,0.14144692480922505,0.32771637340041826,,-0.16157095496533447,,
realizedAbs,basket,0.29401774771831307,0.01658989959898827,-0.14161702051891623,1.0,0.00977499369873053,0.40094087135258444,-0.38309847412628845,-0.20702500545801059,,-0.11202815369489881,,
minSpot,basket,0.12950583072585267,0.027825286577413816,0.2984451102907864,0.00977499369873053,1.0,-0.22948932830381877,-0.26864511240008554,-0.45084639317103,,0.3449212141019309,,
maxSpot,basket,0.12263890938779211,0.010849404145578752,-0.0072658060264345035,0.40094087135258444,-0.22948932830381877,1.0,0.32362206560048046,-0.17358831991011814,,-0.3159118214242922,,
minCurve,basket,-0.7625542178116058,0.012075557138286015,0.14144692480922505,-0.38309847412628845,-0.26864511240008554,0.32362206560048046,1.0,0.11398135392146592,,-0.14272405127790042,,
maxCurve,basket,-0.26654296760861007,-0.0261080834662882,0.32771637340041826,-0.20702500545801059,-0.45084639317103,-0.17358831991011814,0.11398135392146592,1.0,,-0.4894698117297836,,
rounds,basket,,,,,,,,,,,,
settlementLegs,basket,0.03030303196486476,-0.004574898620245013,-0.16157095496533447,-0.11202815369489881,0.3449212141019309,-0.3159118214242922,-0.14272405127790042,-0.4894698117297836,,1.0,,
x402Total,basket,,,,,,,,,,,,
deniedWorkers,basket,,,,,,,,,,,,
seed,spread,1.0,-0.0038451741694235405,-0.28776540636188075,0.04226365624365324,-0.37244227930617635,0.33128929835638676,0.2783797159013738,-0.12068107015665828,,0.34493098342312106,,
role_pnl,spread,-0.0038451741694235405,1.0,0.0012687466684898382,-0.01138613702815423,-0.002475486187306975,-0.0075079763284730625,0.01924995095659688,-0.006955022222657242,,0.017245725679030828,,
wallet_sum_pnl,spread,-0.28776540636188075,0.0012687466684898382,1.0,-0.07111397300758054,0.06751979038998107,-0.29553054430430314,-0.24964733739816353,-0.22701482572920634,,0.1038102199382518,,
realizedAbs,spread,0.04226365624365324,-0.01138613702815423,-0.07111397300758054,1.0,-0.2871315058430244,0.2936604391946476,-0.057887613660803694,0.4300061192080513,,-0.2990884972567712,,
minSpot,spread,-0.37244227930617635,-0.002475486187306975,0.06751979038998107,-0.2871315058430244,1.0,-0.3026824476861704,-0.21630689550885282,-0.2968383573344606,,-0.2792971289231088,,
maxSpot,spread,0.33128929835638676,-0.0075079763284730625,-0.29553054430430314,0.2936604391946476,-0.3026824476861704,1.0,0.167887840820499,0.47665689198914846,,0.19436473880364125,,
minCurve,spread,0.2783797159013738,0.01924995095659688,-0.24964733739816353,-0.057887613660803694,-0.21630689550885282,0.167887840820499,1.0,0.036278902234734005,,0.3444654951586308,,
maxCurve,spread,-0.12068107015665828,-0.006955022222657242,-0.22701482572920634,0.4300061192080513,-0.2968383573344606,0.47665689198914846,0.036278902234734005,1.0,,-0.35995375161740495,,
rounds,spread,,,,,,,,,,,,
settlementLegs,spread,0.34493098342312106,0.017245725679030828,0.1038102199382518,-0.2990884972567712,-0.2792971289231088,0.19436473880364125,0.3444654951586308,-0.35995375161740495,,1.0,,
x402Total,spread,,,,,,,,,,,,
deniedWorkers,spread,,,,,,,,,,,,
seed,synthetic,1.0,-0.014196118835013401,-0.2782854169454912,0.22113176398857215,0.1295058307258526,0.12263890938779759,-0.7745966698078726,-0.2686454609739118,,0.4399413465920659,,
role_pnl,synthetic,-0.014196118835013401,1.0,-0.024281724653785648,0.011823440361336536,0.02946448319535439,0.013296843880819888,0.016771405535190867,-0.018791082397722248,,-0.004042181134462393,,
wallet_sum_pnl,synthetic,-0.2782854169454912,-0.024281724653785648,1.0,0.013217019528915058,-0.42114065914030197,0.1633976818758496,0.2323301344868028,0.30714574835091774,,-0.5210947935482467,,
realizedAbs,synthetic,0.22113176398857215,0.011823440361336536,0.013217019528915058,1.0,-0.045422334585413594,0.5176862719047645,-0.30579313093323035,-0.16491871707478659,,-0.02447995283572187,,
minSpot,synthetic,0.1295058307258526,0.02946448319535439,-0.42114065914030197,-0.045422334585413594,1.0,-0.2294893283038193,-0.3055721240467425,-0.4447730815492941,,0.2643971459710185,,
maxSpot,synthetic,0.12263890938779759,0.013296843880819888,0.1633976818758496,0.5176862719047645,-0.2294893283038193,1.0,0.268054246285464,-0.1860709913307974,,-0.21084721866035366,,
minCurve,synthetic,-0.7745966698078726,0.016771405535190867,0.2323301344868028,-0.30579313093323035,-0.3055721240467425,0.268054246285464,1.0,0.08717362483387889,,-0.269781871267348,,
maxCurve,synthetic,-0.2686454609739118,-0.018791082397722248,0.30714574835091774,-0.16491871707478659,-0.4447730815492941,-0.1860709913307974,0.08717362483387889,1.0,,-0.4280331038099466,,
rounds,synthetic,,,,,,,,,,,,
settlementLegs,synthetic,0.4399413465920659,-0.004042181134462393,-0.5210947935482467,-0.02447995283572187,0.2643971459710185,-0.21084721866035366,-0.269781871267348,-0.4280331038099466,,1.0,,
x402Total,synthetic,,,,,,,,,,,,
deniedWorkers,synthetic,,,,,,,,,,,,
