,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658476721.5,800787778.1807185,202608221.0,202608221.0,202608223.75,202608226.5,658476724.25,2026082212.0,2026082212.0,1.206,-0.582
role_pnl,basket,36.0,-0.7040250330202605,31.186231052216634,-75.25160809174587,-55.661434033573855,-14.597738725928895,0.9738950551537411,23.940194962775884,44.180523230090564,49.428285099961165,-0.464,-0.299
wallet_sum_pnl,basket,36.0,-1.021405182655144e-14,3.921079420995298e-14,-1.021405182655144e-13,-1.021405182655144e-13,-2.0122792321330962e-14,3.885780586188052e-16,1.5987211554602254e-14,2.8421709430404014e-14,2.8421709430404014e-14,-1.282,0.758
realizedAbs,basket,36.0,188.69683227246085,44.617579837075695,96.5459779241591,96.5459779241591,164.71001211668892,203.07648424582595,225.8830706975382,236.80592142569608,236.80592142569608,-0.782,-0.531
minSpot,basket,36.0,0.12042102242081228,0.005483514076561203,0.110391140327453,0.110391140327453,0.11762153948325794,0.11937530209745925,0.12323187493525516,0.1332532828660427,0.1332532828660427,0.631,1.061
maxSpot,basket,36.0,0.2073394552897869,0.007266690986483105,0.1982822206856393,0.1982822206856393,0.20099188679413071,0.20619392985257823,0.212829332195434,0.2220155486796754,0.2220155486796754,0.571,-0.727
minCurve,basket,36.0,0.112125,0.0016317168872080736,0.109,0.109,0.111375,0.1125,0.1135,0.1145,0.1145,-0.596,-0.578
maxCurve,basket,36.0,0.25025000000000003,0.00823797825405517,0.2385,0.2385,0.24325,0.24975,0.255125,0.2665,0.2665,0.312,-0.699
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.25,1.6102351203650798,78.0,78.0,79.0,80.0,81.25,83.0,83.0,0.611,-0.861
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658476721.5,800787778.1807185,202608221.0,202608221.0,202608223.75,202608226.5,658476724.25,2026082212.0,2026082212.0,1.206,-0.582
role_pnl,spread,36.0,-373.1829401742243,8921.927684606806,-24618.39964184684,-16934.928953167215,-4760.819393635509,1398.9203487315135,5687.525366842399,11303.439137964644,12873.889347284508,-0.864,0.429
