mode,column,outlier_count,outlier_pct,min,max,mean,iqr_outliers,zscore_outliers
basket,seed,9,25.0,202609141.0,2026091412.0,658479711.5,9,0
basket,settlementLegs,6,16.67,76.0,84.0,80.4167,6,0
basket,role_pnl,1,2.78,-80.63634601180888,47.677968057011135,-1.0527,1,0
basket,wallet_sum_pnl,0,0.0,-4.1744385725905886e-14,2.930988785010413e-14,-0.0,0,0
basket,realizedAbs,0,0.0,113.65671658473836,266.3562807917248,199.2591,0,0
basket,minSpot,0,0.0,0.1133656574432163,0.1344584927107127,0.1232,0,0
basket,maxSpot,0,0.0,0.1986583958123093,0.2312330089890628,0.211,0,0
basket,minCurve,0,0.0,0.11,0.118,0.1149,0,0
basket,maxCurve,0,0.0,0.242,0.2675,0.2527,0,0
basket,rounds,0,0.0,60.0,60.0,60.0,0,0
basket,x402Total,0,0.0,0.0,0.0,0.0,0,0
basket,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
spread,seed,9,25.0,202609141.0,2026091412.0,658479711.5,9,0
spread,maxSpot,6,16.67,33.82864351587271,37.57200105628986,35.2516,6,0
spread,wallet_sum_pnl,3,8.33,-2.273736754432321e-12,2.8421709430404007e-12,-0.0,3,0
spread,minCurve,3,8.33,19.9605,22.041,21.4174,3,0
spread,role_pnl,0,0.0,-9148.439546228728,6555.624555476828,-262.4155,0,0
spread,realizedAbs,0,0.0,14574.27248716852,30768.52622840598,23258.5541,0,0
spread,minSpot,0,0.0,21.311738406813024,23.62143952413915,22.474,0,0
spread,maxCurve,0,0.0,36.065,38.299,37.3502,0,0
spread,rounds,0,0.0,60.0,60.0,60.0,0,0
spread,settlementLegs,0,0.0,78.0,84.0,80.5833,0,0
spread,x402Total,0,0.0,0.0,0.0,0.0,0,0
spread,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
synthetic,seed,9,25.0,202609141.0,2026091412.0,658479711.5,9,0
synthetic,wallet_sum_pnl,3,8.33,-1.0880185641326534e-14,1.4432899320127035e-14,-0.0,3,0
synthetic,role_pnl,1,2.78,-29.446952927648425,16.756422639283205,-0.3176,1,0
synthetic,realizedAbs,0,0.0,39.19162656321372,102.71100633088876,75.0876,0,0
synthetic,minSpot,0,0.0,0.0444571205659671,0.0527288206708677,0.0483,0,0
synthetic,maxSpot,0,0.0,0.0779052532597291,0.0906796113682599,0.0828,0,0
synthetic,minCurve,0,0.0,0.0435,0.0465,0.0451,0,0
synthetic,maxCurve,0,0.0,0.095,0.105,0.0991,0,0
synthetic,rounds,0,0.0,60.0,60.0,60.0,0,0
synthetic,settlementLegs,0,0.0,78.0,83.0,80.4167,0,0
synthetic,x402Total,0,0.0,0.0,0.0,0.0,0,0
synthetic,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
x402,seed,9,25.0,202609141.0,2026091412.0,658479711.5,9,0
x402,wallet_sum_pnl,3,8.33,-1.0880185641326534e-14,1.4432899320127035e-14,-0.0,3,0
x402,role_pnl,1,2.78,-29.446952927648425,16.756422639283205,-0.3176,1,0
x402,realizedAbs,0,0.0,39.19162656321372,102.71100633088876,75.0876,0,0
x402,minSpot,0,0.0,0.0444571205659671,0.0527288206708677,0.0483,0,0
x402,maxSpot,0,0.0,0.0779052532597291,0.0906796113682599,0.0828,0,0
x402,minCurve,0,0.0,0.0435,0.0465,0.0451,0,0
x402,maxCurve,0,0.0,0.095,0.105,0.0991,0,0
x402,rounds,0,0.0,60.0,60.0,60.0,0,0
x402,settlementLegs,0,0.0,78.0,83.0,80.4167,0,0
x402,x402Total,0,0.0,287.78928363099203,386.6440054632732,319.7066,0,0
x402,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
