,mode,seed,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
seed,basket,1.0,0.02358949180649681,-0.057933857030928085,0.23591485580723365,-0.6016898384622197,-0.11566165653593154,0.21877991211348194,-0.1293311713016187,,-0.1391216673038723,,
role_pnl,basket,0.02358949180649681,1.0,0.001648446383064565,-0.0015768295109810713,0.002863992923816165,-0.012413512273429328,0.027546430200290354,0.006007099133957605,,-0.022444189784190317,,
wallet_sum_pnl,basket,-0.057933857030928085,0.001648446383064565,1.0,-0.6013123302254437,0.20417822502295876,-0.004097991549206077,-0.2465078412593954,-0.08489919443512604,,0.019385178094848344,,
realizedAbs,basket,0.23591485580723365,-0.0015768295109810713,-0.6013123302254437,1.0,-0.43281816155876823,0.4083595641418622,0.05594797470410909,-0.04537380804182091,,0.10668552671007352,,
minSpot,basket,-0.6016898384622197,0.002863992923816165,0.20417822502295876,-0.43281816155876823,1.0,-0.059494502760149004,0.12361205041411065,-0.11820281278750627,,-0.32827851694124843,,
maxSpot,basket,-0.11566165653593154,-0.012413512273429328,-0.004097991549206077,0.4083595641418622,-0.059494502760149004,1.0,-0.5355345941430543,-0.3134489864233073,,0.06994094227522182,,
minCurve,basket,0.21877991211348194,0.027546430200290354,-0.2465078412593954,0.05594797470410909,0.12361205041411065,-0.5355345941430543,1.0,0.5212219977700526,,-0.5069939007392203,,
maxCurve,basket,-0.1293311713016187,0.006007099133957605,-0.08489919443512604,-0.04537380804182091,-0.11820281278750627,-0.3134489864233073,0.5212219977700526,1.0,,0.0019991964844883444,,
rounds,basket,,,,,,,,,,,,
settlementLegs,basket,-0.1391216673038723,-0.022444189784190317,0.019385178094848344,0.10668552671007352,-0.32827851694124843,0.06994094227522182,-0.5069939007392203,0.0019991964844883444,,1.0,,
x402Total,basket,,,,,,,,,,,,
deniedWorkers,basket,,,,,,,,,,,,
seed,spread,1.0,0.006020476901156147,-0.005151397794821734,0.7144685387385936,0.43997401394864605,0.2788006766336112,-0.36453887346102143,0.4255701313702924,,0.4529108145271682,,
role_pnl,spread,0.006020476901156147,1.0,0.0015689825947442857,-0.009830783090876007,0.00010352321031811486,-0.0037795222138232686,0.005540345010114819,0.0020112923714588407,,0.0024920685488104694,,
wallet_sum_pnl,spread,-0.005151397794821734,0.0015689825947442857,1.0,0.09480930897245755,-0.15731536816322328,-0.26481525025158165,-0.2917165092908098,0.06877295486640787,,-0.40836958452385747,,
realizedAbs,spread,0.7144685387385936,-0.009830783090876007,0.09480930897245755,1.0,0.3107539915166132,0.42787605932730494,-0.6823311568978947,0.4698814866772915,,0.21795231827103964,,
minSpot,spread,0.43997401394864605,0.00010352321031811486,-0.15731536816322328,0.3107539915166132,1.0,0.6706301090648129,-0.6030229588916604,0.652964611567436,,0.10278982908764267,,
maxSpot,spread,0.2788006766336112,-0.0037795222138232686,-0.26481525025158165,0.42787605932730494,0.6706301090648129,1.0,-0.4910782902275687,0.6634036020363041,,-0.0212089681520715,,
minCurve,spread,-0.36453887346102143,0.005540345010114819,-0.2917165092908098,-0.6823311568978947,-0.6030229588916604,-0.4910782902275687,1.0,-0.540998965292926,,0.17358461837054734,,
maxCurve,spread,0.4255701313702924,0.0020112923714588407,0.06877295486640787,0.4698814866772915,0.652964611567436,0.6634036020363041,-0.540998965292926,1.0,,-0.15760992434539867,,
rounds,spread,,,,,,,,,,,,
settlementLegs,spread,0.4529108145271682,0.0024920685488104694,-0.40836958452385747,0.21795231827103964,0.10278982908764267,-0.0212089681520715,0.17358461837054734,-0.15760992434539867,,1.0,,
x402Total,spread,,,,,,,,,,,,
deniedWorkers,spread,,,,,,,,,,,,
