,mode,seed,role_pnl,wallet_sum_pnl,realizedAbs,minSpot,maxSpot,minCurve,maxCurve,rounds,settlementLegs,x402Total,deniedWorkers
seed,basket,1.0,0.0060081656837897195,-0.44801436446795373,0.11510386926160196,0.2618741682165847,0.41927477852002454,-0.14061656815318926,0.07100583869194729,,0.12451456004381936,,
role_pnl,basket,0.0060081656837897195,1.0,-0.018077100488574346,0.0007646662219278662,0.012673975911552846,0.018946871197273035,0.01872994106033695,0.00021984999932978704,,0.01508971259213535,,
wallet_sum_pnl,basket,-0.44801436446795373,-0.018077100488574346,1.0,0.36376417846616654,0.0383908743933998,0.041476771076174715,0.04282857737564616,0.21314232120949203,,-0.06293023636805348,,
realizedAbs,basket,0.11510386926160196,0.0007646662219278662,0.36376417846616654,1.0,0.7340373179712238,0.5189445452563155,0.14894883992375837,0.07217342630410918,,0.08530314099130772,,
minSpot,basket,0.2618741682165847,0.012673975911552846,0.0383908743933998,0.7340373179712238,1.0,0.5204638367362621,-0.11112847906881881,0.11928507135176573,,0.5425800255774128,,
maxSpot,basket,0.41927477852002454,0.018946871197273035,0.041476771076174715,0.5189445452563155,0.5204638367362621,1.0,0.17017295188818563,-0.054805756364330965,,-0.08259160316865517,,
minCurve,basket,-0.14061656815318926,0.01872994106033695,0.04282857737564616,0.14894883992375837,-0.11112847906881881,0.17017295188818563,1.0,0.47065047525182807,,-0.1838425105403813,,
maxCurve,basket,0.07100583869194729,0.00021984999932978704,0.21314232120949203,0.07217342630410918,0.11928507135176573,-0.054805756364330965,0.47065047525182807,1.0,,0.2736137540988734,,
rounds,basket,,,,,,,,,,,,
settlementLegs,basket,0.12451456004381936,0.01508971259213535,-0.06293023636805348,0.08530314099130772,0.5425800255774128,-0.08259160316865517,-0.1838425105403813,0.2736137540988734,,1.0,,
x402Total,basket,,,,,,,,,,,,
deniedWorkers,basket,,,,,,,,,,,,
seed,spread,1.0,0.01940619555554923,-0.08507244557898323,-0.49072925293052605,0.4577229896499838,-0.2288397468482892,-0.20950080598620374,-0.18719031423420507,,4.4167845123865695e-10,,
role_pnl,spread,0.01940619555554923,1.0,-0.027856481557438646,-0.020307349473674505,0.0038563671388215748,-0.018907517810092322,-0.03426700389373205,0.015430199916381322,,0.019656370791174705,,
wallet_sum_pnl,spread,-0.08507244557898323,-0.027856481557438646,1.0,0.09227471441064336,0.07321224407275775,0.36072185417791786,0.04802111418903147,-0.5065479089252478,,-0.05378846843235694,,
