,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658476494.0,800787501.513048,202608151.0,202608151.0,202608153.75,202608156.5,658476496.75,2026081512.0,2026081512.0,1.206,-0.582
role_pnl,basket,36.0,0.07364201800520512,32.09309561544114,-74.56239238638221,-61.64360928819671,-22.221658333197247,8.276868013491633,23.948273224988906,36.178479296637164,51.35816878465247,-0.789,-0.245
wallet_sum_pnl,basket,36.0,-9.751458899624291e-15,3.80410384326188e-14,-5.4178883601707645e-14,-5.4178883601707645e-14,-4.04121180963557e-14,-1.9206858326015208e-14,1.0519363158323358e-14,6.483702463810914e-14,6.483702463810914e-14,0.613,-0.886
realizedAbs,basket,36.0,227.80094099554788,48.72331236456004,163.62861831084618,163.62861831084618,191.72342939713724,219.49059903138544,251.06183169522663,336.5255630801782,336.5255630801782,0.784,0.039
minSpot,basket,36.0,0.14594929116104555,0.007138372932972243,0.1352419079688166,0.1352419079688166,0.14035493115951686,0.14354477255294174,0.15170344395852292,0.1579352547480327,0.1579352547480327,0.325,-1.205
maxSpot,basket,36.0,0.2532550896483323,0.012874977474736314,0.2314380296685889,0.2314380296685889,0.2479054564783781,0.24919010996529045,0.2570570987039564,0.2793933886904875,0.2793933886904875,0.625,-0.075
minCurve,basket,36.0,0.13458333333333333,0.0045110974274559824,0.1255,0.1255,0.13387500000000002,0.13425,0.13537500000000002,0.1455,0.1455,0.48,2.017
maxCurve,basket,36.0,0.2950416666666667,0.006528372144504551,0.2825,0.2825,0.290875,0.29625,0.298,0.307,0.307,-0.125,-0.267
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,79.66666666666667,1.567527625639452,77.0,77.0,78.75,79.5,81.0,82.0,82.0,0.026,-1.047
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658476494.0,800787501.513048,202608151.0,202608151.0,202608153.75,202608156.5,658476496.75,2026081512.0,2026081512.0,1.206,-0.582
role_pnl,spread,36.0,-401.9634643497375,7239.274477557029,-16459.279670775635,-13734.12160236608,-4737.7774288953915,1282.8843588850914,3927.3381309246925,9979.450740859515,11578.245221723872,-0.431,-0.364
wallet_sum_pnl,spread,36.0,-1.8474111129762605e-12,6.977187719722551e-12,-1.7280399333685637e-11,-1.7280399333685637e-11,-5.4285465012071654e-12,-1.3642420526593924e-12,1.9610979506978765e-12,8.185452315956354e-12,8.185452315956354e-12,-0.537,0.106
realizedAbs,spread,36.0,48985.214619417726,12605.14457242569,24347.138430983632,24347.138430983632,41354.383677884936,49901.571540542034,54211.348393474094,75064.164512487,75064.164512487,0.1,0.342
minSpot,spread,36.0,43.35575540750279,1.6766462571218155,40.5577493107667,40.5577493107667,41.874251139254554,43.184298109466404,44.73421111989494,45.68099980189602,45.68099980189602,-0.108,-1.333
maxSpot,spread,36.0,66.80588948384387,2.8915063753777948,63.10178367154229,63.10178367154229,64.21040735558023,66.51448942796087,68.34182520370891,72.64403160672099,72.64403160672099,0.493,-0.636
minCurve,spread,36.0,39.58916666666667,1.1682806475451748,37.9215,37.9215,38.711625,39.477000000000004,40.757625,41.145,41.145,-0.076,-1.608
maxCurve,spread,36.0,71.22716666666663,1.258517449791054,69.044,69.044,70.584875,71.23475,71.69775,74.19500000000001,74.19500000000001,0.579,1.071
rounds,spread,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,spread,36.0,80.33333333333333,1.45405835999994,78.0,78.0,79.0,80.0,81.25,83.0,83.0,0.262,-0.873
x402Total,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,spread,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,synthetic,36.0,658476494.0,800787501.513048,202608151.0,202608151.0,202608153.75,202608156.5,658476496.75,2026081512.0,2026081512.0,1.206,-0.582
role_pnl,synthetic,36.0,-0.18056799501514098,10.093266010092407,-22.5040743530542,-19.87507829086648,-7.467817349472478,2.797713131628183,6.284612814705716,11.51905727865869,15.194227794165082,-0.759,-0.29
wallet_sum_pnl,synthetic,36.0,-7.031412489292658e-16,9.672038991743301e-15,-1.754152378907747e-14,-1.754152378907747e-14,-5.162537064506978e-15,-3.885780586188049e-16,4.85722573273506e-15,1.7319479184152442e-14,1.7319479184152442e-14,-0.15,-0.24
realizedAbs,synthetic,36.0,74.80823968874913,16.55061441245877,53.468741499813774,53.468741499813774,60.20377515005477,72.5045262646978,81.43682113909622,114.81592519242729,114.81592519242729,0.981,0.796
minSpot,synthetic,36.0,0.04824769955737041,0.0023597927051147993,0.044708068750022,0.044708068750022,0.04639832435025348,0.047452817372873296,0.050149898829263746,0.0522100015695976,0.0522100015695976,0.325,-1.205
maxSpot,synthetic,36.0,0.0837206907928371,0.004256190900739265,0.0765084395598641,0.0765084395598641,0.08195221701764566,0.08237689585629435,0.08497755329056403,0.0923614508067727,0.0923614508067727,0.625,-0.075
minCurve,synthetic,36.0,0.04458333333333332,0.001574347937582868,0.0415,0.0415,0.044375,0.0445,0.045,0.0485,0.0485,0.64,2.238
maxCurve,synthetic,36.0,0.09758333333333336,0.0021297216451250838,0.0935,0.0935,0.096375,0.098,0.098375,0.1015,0.1015,-0.087,-0.242
rounds,synthetic,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,synthetic,36.0,79.16666666666667,2.1843599912625598,75.0,75.0,77.75,79.0,80.25,83.0,83.0,-0.069,-0.415
x402Total,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,synthetic,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,x402,36.0,658476494.0,800787501.513048,202608151.0,202608151.0,202608153.75,202608156.5,658476496.75,2026081512.0,2026081512.0,1.206,-0.582
role_pnl,x402,36.0,-0.18056799501514098,10.093266010092407,-22.5040743530542,-19.87507829086648,-7.467817349472478,2.797713131628183,6.284612814705716,11.51905727865869,15.194227794165082,-0.759,-0.29
wallet_sum_pnl,x402,36.0,-7.031412489292658e-16,9.672038991743301e-15,-1.754152378907747e-14,-1.754152378907747e-14,-5.162537064506978e-15,-3.885780586188049e-16,4.85722573273506e-15,1.7319479184152442e-14,1.7319479184152442e-14,-0.15,-0.24
realizedAbs,x402,36.0,74.80823968874913,16.55061441245877,53.468741499813774,53.468741499813774,60.20377515005477,72.5045262646978,81.43682113909622,114.81592519242729,114.81592519242729,0.981,0.796
minSpot,x402,36.0,0.04824769955737041,0.0023597927051147993,0.044708068750022,0.044708068750022,0.04639832435025348,0.047452817372873296,0.050149898829263746,0.0522100015695976,0.0522100015695976,0.325,-1.205
maxSpot,x402,36.0,0.0837206907928371,0.004256190900739265,0.0765084395598641,0.0765084395598641,0.08195221701764566,0.08237689585629435,0.08497755329056403,0.0923614508067727,0.0923614508067727,0.625,-0.075
minCurve,x402,36.0,0.04458333333333332,0.001574347937582868,0.0415,0.0415,0.044375,0.0445,0.045,0.0485,0.0485,0.64,2.238
maxCurve,x402,36.0,0.09758333333333336,0.0021297216451250838,0.0935,0.0935,0.096375,0.098,0.098375,0.1015,0.1015,-0.087,-0.242
rounds,x402,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
