     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026082e+08 2.026082e+09  6.584765e+08             9                0
   basket        maxSpot              9        25.00  2.314380e-01 2.793934e-01  2.533000e-01             9                0
   basket       minCurve              9        25.00  1.255000e-01 1.455000e-01  1.346000e-01             9                0
   basket       role_pnl              0         0.00 -7.456239e+01 5.135817e+01  7.360000e-02             0                0
   basket wallet_sum_pnl              0         0.00 -5.417888e-14 6.483702e-14 -0.000000e+00             0                0
   basket    realizedAbs              0         0.00  1.636286e+02 3.365256e+02  2.278009e+02             0                0
   basket        minSpot              0         0.00  1.352419e-01 1.579353e-01  1.459000e-01             0                0
   basket       maxCurve              0         0.00  2.825000e-01 3.070000e-01  2.950000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket settlementLegs              0         0.00  7.700000e+01 8.200000e+01  7.966670e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026082e+08 2.026082e+09  6.584765e+08             9                0
   spread wallet_sum_pnl              3         8.33 -1.728040e-11 8.185452e-12 -0.000000e+00             3                0
   spread    realizedAbs              3         8.33  2.434714e+04 7.506416e+04  4.898521e+04             3                0
   spread       maxCurve              3         8.33  6.904400e+01 7.419500e+01  7.122720e+01             3                0
   spread       role_pnl              0         0.00 -1.645928e+04 1.157825e+04 -4.019635e+02             0                0
   spread        minSpot              0         0.00  4.055775e+01 4.568100e+01  4.335580e+01             0                0
   spread        maxSpot              0         0.00  6.310178e+01 7.264403e+01  6.680590e+01             0                0
   spread       minCurve              0         0.00  3.792150e+01 4.114500e+01  3.958920e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.800000e+01 8.300000e+01  8.033330e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic           seed              9        25.00  2.026082e+08 2.026082e+09  6.584765e+08             9                0
synthetic        maxSpot              9        25.00  7.650844e-02 9.236145e-02  8.370000e-02             9                0
synthetic       minCurve              9        25.00  4.150000e-02 4.850000e-02  4.460000e-02             9                0
synthetic    realizedAbs              3         8.33  5.346874e+01 1.148159e+02  7.480820e+01             3                0
synthetic       maxCurve              3         8.33  9.350000e-02 1.015000e-01  9.760000e-02             3                0
synthetic       role_pnl              0         0.00 -2.250407e+01 1.519423e+01 -1.806000e-01             0                0
synthetic wallet_sum_pnl              0         0.00 -1.754152e-14 1.731948e-14 -0.000000e+00             0                0
synthetic        minSpot              0         0.00  4.470807e-02 5.221000e-02  4.820000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.500000e+01 8.300000e+01  7.916670e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402           seed              9        25.00  2.026082e+08 2.026082e+09  6.584765e+08             9                0
     x402        maxSpot              9        25.00  7.650844e-02 9.236145e-02  8.370000e-02             9                0
     x402       minCurve              9        25.00  4.150000e-02 4.850000e-02  4.460000e-02             9                0
     x402      x402Total              6        16.67  2.626601e+02 3.845485e+02  3.275805e+02             6                0
     x402    realizedAbs              3         8.33  5.346874e+01 1.148159e+02  7.480820e+01             3                0
     x402       maxCurve              3         8.33  9.350000e-02 1.015000e-01  9.760000e-02             3                0
     x402       role_pnl              0         0.00 -2.250407e+01 1.519423e+01 -1.806000e-01             0                0
     x402 wallet_sum_pnl              0         0.00 -1.754152e-14 1.731948e-14 -0.000000e+00             0                0
     x402        minSpot              0         0.00  4.470807e-02 5.221000e-02  4.820000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.500000e+01 8.300000e+01  7.916670e+01             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-15/outlier_detector.csv
