     mode         column  outlier_count  outlier_pct           min          max          mean  iqr_outliers  zscore_outliers
   basket           seed              9        25.00  2.026083e+08 2.026083e+09  6.584768e+08             9                0
   basket    realizedAbs              9        25.00  1.451237e+02 3.390332e+02  2.262739e+02             9                0
   basket        maxSpot              3         8.33  2.058792e-01 2.254860e-01  2.134000e-01             3                0
   basket       role_pnl              0         0.00 -9.007642e+01 6.019215e+01 -1.273900e+00             0                0
   basket wallet_sum_pnl              0         0.00 -4.174439e-14 5.329071e-14  0.000000e+00             0                0
   basket        minSpot              0         0.00  1.152737e-01 1.255479e-01  1.214000e-01             0                0
   basket       minCurve              0         0.00  1.030000e-01 1.150000e-01  1.099000e-01             0                0
   basket       maxCurve              0         0.00  2.370000e-01 2.630000e-01  2.468000e-01             0                0
   basket         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   basket settlementLegs              0         0.00  7.800000e+01 8.300000e+01  8.008330e+01             0                0
   basket      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   basket  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread           seed              9        25.00  2.026083e+08 2.026083e+09  6.584768e+08             9                0
   spread    realizedAbs              3         8.33  2.959249e+04 7.688763e+04  4.786662e+04             3                0
   spread       maxCurve              3         8.33  6.923850e+01 7.667650e+01  7.105760e+01             3                0
   spread       role_pnl              1         2.78 -2.525963e+04 1.389850e+04 -4.613079e+02             1                0
   spread wallet_sum_pnl              0         0.00 -8.640200e-12 8.185452e-12 -0.000000e+00             0                0
   spread        minSpot              0         0.00  3.973047e+01 4.379700e+01  4.216450e+01             0                0
   spread        maxSpot              0         0.00  5.896290e+01 6.993622e+01  6.537520e+01             0                0
   spread       minCurve              0         0.00  3.805750e+01 4.075850e+01  3.963140e+01             0                0
   spread         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
   spread settlementLegs              0         0.00  7.800000e+01 8.300000e+01  8.091670e+01             0                0
   spread      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
   spread  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic    realizedAbs             12        33.33  5.366882e+01 1.310915e+02  8.885620e+01            12                0
synthetic           seed              9        25.00  2.026083e+08 2.026083e+09  6.584768e+08             9                0
synthetic        maxSpot              3         8.33  8.235167e-02 9.019440e-02  8.540000e-02             3                0
synthetic       role_pnl              0         0.00 -3.395708e+01 2.484859e+01 -5.704000e-01             0                0
synthetic wallet_sum_pnl              0         0.00 -2.042810e-14 2.753353e-14  0.000000e+00             0                0
synthetic        minSpot              0         0.00  4.610946e-02 5.021918e-02  4.860000e-02             0                0
synthetic       minCurve              0         0.00  4.150000e-02 4.600000e-02  4.330000e-02             0                0
synthetic       maxCurve              0         0.00  9.500000e-02 1.055000e-01  9.880000e-02             0                0
synthetic         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
synthetic settlementLegs              0         0.00  7.700000e+01 8.300000e+01  8.066670e+01             0                0
synthetic      x402Total              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
synthetic  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0
     x402    realizedAbs             12        33.33  5.366882e+01 1.310915e+02  8.885620e+01            12                0
     x402           seed              9        25.00  2.026083e+08 2.026083e+09  6.584768e+08             9                0
     x402        maxSpot              3         8.33  8.235167e-02 9.019440e-02  8.540000e-02             3                0
     x402       role_pnl              0         0.00 -3.395708e+01 2.484859e+01 -5.704000e-01             0                0
     x402 wallet_sum_pnl              0         0.00 -2.042810e-14 2.753353e-14  0.000000e+00             0                0
     x402        minSpot              0         0.00  4.610946e-02 5.021918e-02  4.860000e-02             0                0
     x402       minCurve              0         0.00  4.150000e-02 4.600000e-02  4.330000e-02             0                0
     x402       maxCurve              0         0.00  9.500000e-02 1.055000e-01  9.880000e-02             0                0
     x402         rounds              0         0.00  6.000000e+01 6.000000e+01  6.000000e+01             0                0
     x402 settlementLegs              0         0.00  7.700000e+01 8.300000e+01  8.066670e+01             0                0
     x402      x402Total              0         0.00  2.744188e+02 3.626224e+02  3.267319e+02             0                0
     x402  deniedWorkers              0         0.00  0.000000e+00 0.000000e+00  0.000000e+00             0                0

Saved to out/programmatic-eda/compute-futures-2026-08-25/outliers_by_mode.csv
