mode,column,outlier_count,outlier_pct,min,max,mean,iqr_outliers,zscore_outliers
basket,seed,9,25.0,202609041.0,2026090412.0,658479386.5,9,0
basket,realizedAbs,6,16.67,126.24078100678392,299.59692997431046,204.9174,6,0
basket,role_pnl,0,0.0,-50.66973540597701,47.0708647000062,-0.7713,0,0
basket,wallet_sum_pnl,0,0.0,-1.8651746813702633e-14,3.219646771412954e-14,0.0,0,0
basket,minSpot,0,0.0,0.1102622803552741,0.1310759889063902,0.1187,0,0
basket,maxSpot,0,0.0,0.1997616529734252,0.221392306048713,0.2094,0,0
basket,minCurve,0,0.0,0.1055,0.1155,0.1102,0,0
basket,maxCurve,0,0.0,0.2305,0.264,0.2471,0,0
basket,rounds,0,0.0,60.0,60.0,60.0,0,0
basket,settlementLegs,0,0.0,78.0,82.0,80.5,0,0
basket,x402Total,0,0.0,0.0,0.0,0.0,0,0
basket,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
spread,seed,9,25.0,202609041.0,2026090412.0,658479386.5,9,0
spread,role_pnl,4,11.11,-9519.750980498871,6832.966144898386,-314.9768,4,0
spread,wallet_sum_pnl,3,8.33,-2.0463630789890885e-12,5.002220859751105e-12,0.0,3,0
spread,minSpot,3,8.33,21.01419752581516,23.8458171712087,22.5841,3,0
spread,settlementLegs,3,8.33,77.0,82.0,79.75,3,0
spread,realizedAbs,0,0.0,14046.014896998462,29668.81331381916,23560.6912,0,0
spread,maxSpot,0,0.0,32.66872894532116,35.91670668508092,34.5147,0,0
spread,minCurve,0,0.0,20.2835,21.624,21.1625,0,0
spread,maxCurve,0,0.0,36.4745,38.595,37.4198,0,0
spread,rounds,0,0.0,60.0,60.0,60.0,0,0
spread,x402Total,0,0.0,0.0,0.0,0.0,0,0
spread,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
synthetic,seed,9,25.0,202609041.0,2026090412.0,658479386.5,9,0
synthetic,realizedAbs,3,8.33,45.02773390701455,111.5924041330203,79.8143,3,0
synthetic,role_pnl,0,0.0,-18.65458944086371,16.946554137056356,-0.2752,0,0
synthetic,wallet_sum_pnl,0,0.0,-1.709743457922741e-14,1.6431300764452317e-14,0.0,0,0
synthetic,minSpot,0,0.0,0.0441049121421096,0.0524303955625561,0.0475,0,0
synthetic,maxSpot,0,0.0,0.07990466118937,0.0885569224194852,0.0837,0,0
synthetic,minCurve,0,0.0,0.0425,0.046,0.044,0,0
synthetic,maxCurve,0,0.0,0.0925,0.1055,0.0989,0,0
synthetic,rounds,0,0.0,60.0,60.0,60.0,0,0
synthetic,settlementLegs,0,0.0,77.0,82.0,79.8333,0,0
synthetic,x402Total,0,0.0,0.0,0.0,0.0,0,0
synthetic,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
x402,seed,9,25.0,202609041.0,2026090412.0,658479386.5,9,0
x402,realizedAbs,3,8.33,45.02773390701455,111.5924041330203,79.8143,3,0
x402,role_pnl,0,0.0,-18.65458944086371,16.946554137056356,-0.2752,0,0
x402,wallet_sum_pnl,0,0.0,-1.709743457922741e-14,1.6431300764452317e-14,0.0,0,0
x402,minSpot,0,0.0,0.0441049121421096,0.0524303955625561,0.0475,0,0
x402,maxSpot,0,0.0,0.07990466118937,0.0885569224194852,0.0837,0,0
x402,minCurve,0,0.0,0.0425,0.046,0.044,0,0
x402,maxCurve,0,0.0,0.0925,0.1055,0.0989,0,0
x402,rounds,0,0.0,60.0,60.0,60.0,0,0
x402,settlementLegs,0,0.0,77.0,82.0,79.8333,0,0
x402,x402Total,0,0.0,276.9264899031626,382.1673813731185,327.5869,0,0
x402,deniedWorkers,0,0.0,0.0,0.0,0.0,0,0
