,mode,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurt
seed,basket,36.0,658479484.0,800791137.7167199,202609071.0,202609071.0,202609073.75,202609076.5,658479486.75,2026090712.0,2026090712.0,1.206,-0.582
role_pnl,basket,36.0,-1.0787669901567638,36.27718123839756,-85.76438592816662,-61.646495752186645,-16.335393912892794,5.338185690398425,24.702062269010174,43.577787327281044,52.8647468066233,-0.589,-0.53
wallet_sum_pnl,basket,36.0,-7.447746123527091e-15,3.142420802186001e-14,-6.128431095930864e-14,-6.128431095930864e-14,-2.353672812205332e-14,3.552713678800501e-15,1.2212453270876722e-14,3.108624468950438e-14,3.108624468950438e-14,-0.769,-0.861
realizedAbs,basket,36.0,200.17267806927745,55.71014103681496,117.97166953745044,117.97166953745044,165.3310235668167,175.80982586407063,242.25836407565293,312.6348541046207,312.6348541046207,0.527,-0.654
minSpot,basket,36.0,0.11976291049176474,0.0041092504516992145,0.1132805995666168,0.1132805995666168,0.11774850744437138,0.1187326442555365,0.1225352675799489,0.1262681851295435,0.1262681851295435,0.377,-0.914
maxSpot,basket,36.0,0.20852096075690124,0.009839514422927218,0.1932617962885245,0.1932617962885245,0.1999942903948263,0.2063243292268912,0.21662864209895233,0.2238313276330526,0.2238313276330526,0.119,-1.359
minCurve,basket,36.0,0.1106875,0.0018316415354227256,0.107,0.107,0.1095,0.1105,0.111125,0.114,0.114,0.155,0.338
maxCurve,basket,36.0,0.24654166666666663,0.011333657208257436,0.2285,0.2285,0.24031249999999998,0.246875,0.253375,0.264,0.264,-0.081,-0.865
rounds,basket,36.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.0
settlementLegs,basket,36.0,80.33333333333333,1.6733200530681511,77.0,77.0,79.75,80.5,81.25,83.0,83.0,-0.448,-0.382
x402Total,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deniedWorkers,basket,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,spread,36.0,658479484.0,800791137.7167199,202609071.0,202609071.0,202609073.75,202609076.5,658479486.75,2026090712.0,2026090712.0,1.206,-0.582
role_pnl,spread,36.0,-239.20179999488286,3986.431587833217,-11479.139528420805,-7622.581931173488,-2963.762447624987,406.3736159876716,2718.459670961444,4191.322594991474,6972.038687309058,-0.889,0.823
wallet_sum_pnl,spread,36.0,3.019806626980417e-14,3.824545224619915e-12,-4.661160346586257e-12,-4.661160346586257e-12,-2.557953848736361e-12,4.263256414560601e-14,1.3642420526593926e-12,1.0004441719502209e-11,1.0004441719502209e-11,1.256,1.938
realizedAbs,spread,36.0,24680.681736400427,7022.425350636491,17078.093839201025,17078.093839201025,19099.284169903036,22197.85484015672,29681.42614208773,36860.94729395179,36860.94729395179,0.578,-1.23
